"ID","latest_date","latest_score"
2027,2011-09-09,9
2056,2019-06-10,4
2068,2024-11-03,16
2069,2024-09-19,11
2072,2023-04-16,6
2074,2024-08-29,25
2086,2011-05-02,9
2090,2024-10-22,13
2104,2019-07-03,11
2110,2021-08-01,14
2149,2018-05-10,5
2162,2019-05-15,3
2202,2017-07-04,18
2203,2017-07-23,15
2215,2021-05-24,15
2218,2024-12-31,11
2227,2021-04-13,21
2263,2017-12-11,1
2267,2016-06-20,16
2274,2024-03-03,19
2292,2022-04-12,21
2294,2025-02-10,7
2297,2021-06-08,1
2306,2024-04-29,25
2320,2024-10-08,6
2329,2024-09-02,22
2333,2024-05-07,1
2341,2024-08-26,22
2343,2021-06-09,10
2347,2024-06-09,12
2356,2024-06-03,16
2357,2018-12-25,32
2358,2024-03-27,12
2364,2024-03-20,7
2368,2022-01-17,16
2379,2024-08-25,1
2390,2023-06-21,23
2396,2021-05-16,3
2398,2024-10-06,11
2407,2024-11-28,6
2408,2021-11-21,1
2411,2021-09-01,23
2425,2024-05-02,11
2431,2024-07-22,20
2432,2024-09-11,15
2442,2024-11-04,1
2443,2024-10-08,3
2447,2024-10-28,8
2448,2024-11-03,13
2450,2024-10-14,12
2452,2024-10-28,18
2453,2024-11-18,21
2456,2022-12-26,8
2463,2024-04-11,8
2465,2024-04-09,10
2466,2024-03-31,8
2467,2024-06-09,3
2472,2024-06-27,12
2478,2024-07-21,13
2483,2024-10-08,8
2485,2024-10-16,8
2502,2024-12-23,12
2505,2025-01-05,24
2507,2024-12-18,19
2513,2025-01-20,21
2517,2025-01-19,24
2519,2024-02-19,17
2521,2025-02-03,5
2526,2024-03-28,4
2527,2024-03-04,10
2528,2023-03-15,25
2535,2024-05-13,10
2539,2024-05-20,14
2549,2024-07-23,0
2555,2022-10-12,8
2566,2024-11-20,16
2570,2025-02-10,1
2571,2024-04-18,16
2572,2024-03-25,3
2601,2024-07-17,7
2602,2024-04-03,13
2603,2024-07-21,11
2617,2024-08-05,13
2648,2024-07-03,9
2668,2024-09-19,23
2672,2024-11-05,1
2673,2024-11-10,15
2674,2024-11-13,18
2734,2024-10-09,7
2779,2024-12-01,13
